Date: 10/8/2024 Time: 17:53:22, Count: 1, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:54:00, Count: 2, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:54:59, Count: 3, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:55:15, Count: 4, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:57:47, Count: 5, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:58:25, Count: 6, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 17:59:29, Count: 7, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:01:20, Count: 8, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:05:35, Count: 9, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:06:02, Count: 10, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:12:12, Count: 11, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:12:35, Count: 12, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:12:58, Count: 13, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:13:07, Count: 14, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:24:43, Count: 15, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:25:52, Count: 16, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:57:43, Count: 17, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:57:49, Count: 18, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 18:58:22, Count: 19, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 20:06:05, Count: 20, Pin: D4, Sensor Name: Sensor 2
Date: 10/8/2024 Time: 20:06:15, Count: 21, Pin: D4, Sensor Name: Sensor 2
